"","YEAR","PROJECT","SPECIES","index","param","season","cal.yr","gSSMU","matchme","survey","catch","sam","sam.sign","oni","oni.class"
"31","2015-16","COPA","ADPE",2.34613582031359,"FWT","S",2016,1,"2016|S|1",NA,0,0.831016666666667,"Pos",2.155,"Warm"
"105","1996-97","CS","CHPE",1.28773256208161,"FWT","S",1997,2,"1997|S|2",3205844.76830184,10284,0.0164833333333333,"Pos",-0.46,"Neutral"
"106","1997-98","CS","CHPE",0.427912544618176,"FWT","S",1998,2,"1998|S|2",1413546.44573773,4904,-0.298666666666667,"Neg",2.105,"Warm"
"107","1998-99","CS","CHPE",0.597479829425057,"FWT","S",1999,2,"1999|S|2",593208.557496801,8082,0.715333333333333,"Pos",-1.355,"Cool"
"108","1999-00","CS","CHPE",1.12484280185648,"FWT","S",2000,2,"2000|S|2",1817683.62451999,13555,1.059,"Pos",-1.48,"Cool"
"109","2000-01","CS","CHPE",0.264204451054191,"FWT","S",2001,2,"2001|S|2",466145.398227226,2266,-0.629,"Neg",-0.71,"Cool"
"110","2001-02","CS","CHPE",0.635087296526626,"FWT","S",2002,2,"2002|S|2",219845.110809859,24,0.667166666666667,"Pos",-0.2075,"Neutral"
"111","2002-03","CS","CHPE",-1.41562620373385,"FWT","S",2003,2,"2003|S|2",1043928.75564458,3893,-0.617833333333333,"Neg",0.9775,"Warm"
"112","2003-04","CS","CHPE",-0.0787979497011321,"FWT","S",2004,2,"2004|S|2",248086.294206825,2290,-0.332983333333333,"Neg",0.305,"Neutral"
"113","2004-05","CS","CHPE",-2.65059919973219,"FWT","S",2005,2,"2005|S|2",706595.897610585,322,0.00191666666666668,"Pos",0.6525,"Warm"
"114","2005-06","CS","CHPE",-0.206115075217507,"FWT","S",2006,2,"2006|S|2",940966.523205246,654,-0.310166666666667,"Neg",-0.59,"Cool"
"115","2006-07","CS","CHPE",0.346775718179252,"FWT","S",2007,2,"2007|S|2",2025297.43606739,1843,0.17335,"Pos",0.7225,"Warm"
"116","2007-08","CS","CHPE",-0.922512614987292,"FWT","S",2008,2,"2008|S|2",2035625.18924159,218,0.5765,"Pos",-1.3,"Cool"
"117","2008-09","CS","CHPE",1.09165695668403,"FWT","S",2009,2,"2009|S|2",1708749.27054823,2571,0.890666666666667,"Pos",-0.645,"Cool"
"118","2009-10","CS","CHPE",-0.123749639715755,"FWT","S",2010,2,"2010|S|2",291132.226170728,54,-0.442033333333333,"Neg",1.23,"Warm"
"119","2010-11","CS","CHPE",0.961644363958209,"FWT","S",2011,2,"2011|S|2",1319319.42754132,41,0.6469,"Pos",-1.27,"Cool"
"120","2011-12","CS","CHPE",0.38887754725054,"FWT","S",2012,2,"2012|S|2",NA,579,0.603666666666667,"Pos",-0.765,"Cool"
"121","2012-13","CS","CHPE",-0.0551183518707767,"FWT","S",2013,2,"2013|S|2",NA,8777,-0.125166666666667,"Neg",-0.2325,"Neutral"
"122","2013-14","CS","CHPE",0.278608769154148,"FWT","S",2014,2,"2014|S|2",NA,11702,-0.01695,"Neg",-0.39,"Neutral"
"123","2014-15","CS","CHPE",-1.58614073975761,"FWT","S",2015,2,"2015|S|2",NA,340,0.571666666666667,"Pos",0.55,"Warm"
"124","2015-16","CS","CHPE",-0.366163066072194,"FWT","S",2016,2,"2016|S|2",NA,0,0.831016666666667,"Pos",2.155,"Warm"
"137","1997-98","COPA","GEPE",0.493259436938331,"FWT","S",1998,1,"1998|S|1",1547602.76374548,0,-0.298666666666667,"Neg",2.105,"Warm"
"138","1998-99","COPA","GEPE",-1.23840378874569,"FWT","S",1999,1,"1999|S|1",473419.83516923,127,0.715333333333333,"Pos",-1.355,"Cool"
"139","1999-00","COPA","GEPE",0.478559862071081,"FWT","S",2000,1,"2000|S|1",1945391.05465637,231,1.059,"Pos",-1.48,"Cool"
"140","2000-01","COPA","GEPE",-0.201406038244149,"FWT","S",2001,1,"2001|S|1",484257.586975514,213,-0.629,"Neg",-0.71,"Cool"
"141","2001-02","COPA","GEPE",0.557138355944181,"FWT","S",2002,1,"2002|S|1",128904.197738154,57,0.667166666666667,"Pos",-0.2075,"Neutral"
"142","2002-03","COPA","GEPE",-0.884515078314302,"FWT","S",2003,1,"2003|S|1",1329876.52915847,0,-0.617833333333333,"Neg",0.9775,"Warm"
"143","2003-04","COPA","GEPE",-1.11396428042376,"FWT","S",2004,1,"2004|S|1",47933.4288238174,3,-0.332983333333333,"Neg",0.305,"Neutral"
"144","2004-05","COPA","GEPE",-0.146086778557487,"FWT","S",2005,1,"2005|S|1",364733.84998899,0,0.00191666666666668,"Pos",0.6525,"Warm"
"145","2005-06","COPA","GEPE",-0.567544779325315,"FWT","S",2006,1,"2006|S|1",977915.863336175,280,-0.310166666666667,"Neg",-0.59,"Cool"
"146","2006-07","COPA","GEPE",-0.518863153491474,"FWT","S",2007,1,"2007|S|1",1552495.4558265,19,0.17335,"Pos",0.7225,"Warm"
"148","2008-09","COPA","GEPE",-0.978448294127423,"FWT","S",2009,1,"2009|S|1",787974.606108325,11,0.890666666666667,"Pos",-0.645,"Cool"
"149","2009-10","COPA","GEPE",0.469130442806309,"FWT","S",2010,1,"2010|S|1",227811.894421557,3613,-0.442033333333333,"Neg",1.23,"Warm"
"150","2010-11","COPA","GEPE",2.36653914152877,"FWT","S",2011,1,"2011|S|1",1145409.30877156,200,0.6469,"Pos",-1.27,"Cool"
"151","2011-12","COPA","GEPE",1.4801737306402,"FWT","S",2012,1,"2012|S|1",NA,1556,0.603666666666667,"Pos",-0.765,"Cool"
"152","2012-13","COPA","GEPE",-0.195568778699291,"FWT","S",2013,1,"2013|S|1",NA,2057,-0.125166666666667,"Neg",-0.2325,"Neutral"
"168","1997-98","CS","GEPE",0.0354982071065262,"FWT","S",1998,2,"1998|S|2",1413546.44573773,4904,-0.298666666666667,"Neg",2.105,"Warm"
"169","1998-99","CS","GEPE",0.773005080982067,"FWT","S",1999,2,"1999|S|2",593208.557496801,8082,0.715333333333333,"Pos",-1.355,"Cool"
"170","1999-00","CS","GEPE",-0.437783763136439,"FWT","S",2000,2,"2000|S|2",1817683.62451999,13555,1.059,"Pos",-1.48,"Cool"
"171","2000-01","CS","GEPE",0.931394844643134,"FWT","S",2001,2,"2001|S|2",466145.398227226,2266,-0.629,"Neg",-0.71,"Cool"
"172","2001-02","CS","GEPE",0.886970217988426,"FWT","S",2002,2,"2002|S|2",219845.110809859,24,0.667166666666667,"Pos",-0.2075,"Neutral"
"173","2002-03","CS","GEPE",-0.627241729752105,"FWT","S",2003,2,"2003|S|2",1043928.75564458,3893,-0.617833333333333,"Neg",0.9775,"Warm"
"174","2003-04","CS","GEPE",0.0592083027730442,"FWT","S",2004,2,"2004|S|2",248086.294206825,2290,-0.332983333333333,"Neg",0.305,"Neutral"
"175","2004-05","CS","GEPE",-0.670270171505691,"FWT","S",2005,2,"2005|S|2",706595.897610585,322,0.00191666666666668,"Pos",0.6525,"Warm"
"176","2005-06","CS","GEPE",1.0421989399847,"FWT","S",2006,2,"2006|S|2",940966.523205246,654,-0.310166666666667,"Neg",-0.59,"Cool"
"178","2007-08","CS","GEPE",0.157266689481154,"FWT","S",2008,2,"2008|S|2",2035625.18924159,218,0.5765,"Pos",-1.3,"Cool"
"180","2009-10","CS","GEPE",-0.0390069325819776,"FWT","S",2010,2,"2010|S|2",291132.226170728,54,-0.442033333333333,"Neg",1.23,"Warm"
"181","2010-11","CS","GEPE",2.25724803455077,"FWT","S",2011,2,"2011|S|2",1319319.42754132,41,0.6469,"Pos",-1.27,"Cool"
"182","2011-12","CS","GEPE",0.0327227354297126,"FWT","S",2012,2,"2012|S|2",NA,579,0.603666666666667,"Pos",-0.765,"Cool"
"183","2012-13","CS","GEPE",-0.818056469433141,"FWT","S",2013,2,"2013|S|2",NA,8777,-0.125166666666667,"Neg",-0.2325,"Neutral"
"184","2013-14","CS","GEPE",-0.228610725520165,"FWT","S",2014,2,"2014|S|2",NA,11702,-0.01695,"Neg",-0.39,"Neutral"
"185","2014-15","CS","GEPE",-1.40113396982156,"FWT","S",2015,2,"2015|S|2",NA,340,0.571666666666667,"Pos",0.55,"Warm"
"186","2015-16","CS","GEPE",-1.95340929118848,"FWT","S",2016,2,"2016|S|2",NA,0,0.831016666666667,"Pos",2.155,"Warm"
"188","1981-82","COPA","ADPE",-1.17994414415363,"PHS","S",1982,1,"1982|S|1",NA,0,0.468166666666667,"Pos",-0.025,"Neutral"
"189","1982-83","COPA","ADPE",0.83311902696768,"PHS","S",1983,1,"1983|S|1",NA,2,-0.955833333333333,"Neg",2.0175,"Warm"
"190","1984-85","COPA","ADPE",1.2155793742281,"PHS","S",1985,1,"1985|S|1",NA,36,-0.37125,"Neg",-0.895,"Cool"
"191","1986-87","COPA","ADPE",0.411673600046201,"PHS","S",1987,1,"1987|S|1",NA,12,-0.136833333333333,"Neg",1.0975,"Warm"
"192","1987-88","COPA","ADPE",-1.77241016414205,"PHS","S",1988,1,"1988|S|1",NA,0,0.251166666666667,"Pos",0.8775,"Warm"
"193","1988-89","COPA","ADPE",-0.334858197580475,"PHS","S",1989,1,"1989|S|1",NA,0,0.21,"Pos",-1.61,"Cool"
"194","1989-90","COPA","ADPE",-1.15338192872477,"PHS","S",1990,1,"1990|S|1",NA,1028,0.245833333333333,"Pos",-6.93889390390723e-18,"Neutral"
"195","1990-91","COPA","ADPE",-2.27052998227888,"PHS","S",1991,1,"1991|S|1",NA,0,0.00116666666666669,"Pos",0.3325,"Neutral"
"196","1991-92","COPA","ADPE",-0.456908222202961,"PHS","S",1992,1,"1992|S|1",NA,92,-1.01073333333333,"Neg",1.415,"Warm"
"197","1992-93","COPA","ADPE",-0.424984099980931,"PHS","S",1993,1,"1993|S|1",NA,0,-0.319,"Neg",0.0775,"Neutral"
"198","1993-94","COPA","ADPE",0.904602752128025,"PHS","S",1994,1,"1994|S|1",NA,0,0.779666666666667,"Pos",0.115,"Neutral"
"199","1994-95","COPA","ADPE",-0.87503066948043,"PHS","S",1995,1,"1995|S|1",NA,0,0.231833333333333,"Pos",0.8925,"Warm"
"200","1995-96","COPA","ADPE",-0.0167863977810545,"PHS","S",1996,1,"1996|S|1",1758076.65097431,0,0.317666666666667,"Pos",-0.88,"Cool"
"201","1996-97","COPA","ADPE",-0.23769009930816,"PHS","S",1997,1,"1997|S|1",913948.335436675,13,0.0164833333333333,"Pos",-0.46,"Neutral"
"202","1997-98","COPA","ADPE",1.40198194415008,"PHS","S",1998,1,"1998|S|1",1547602.76374548,0,-0.298666666666667,"Neg",2.105,"Warm"
"203","1998-99","COPA","ADPE",1.3854542025211,"PHS","S",1999,1,"1999|S|1",473419.83516923,127,0.715333333333333,"Pos",-1.355,"Cool"
"204","1999-00","COPA","ADPE",0.0716667837933244,"PHS","S",2000,1,"2000|S|1",1945391.05465637,231,1.059,"Pos",-1.48,"Cool"
"205","2000-01","COPA","ADPE",1.25859167986064,"PHS","S",2001,1,"2001|S|1",484257.586975514,213,-0.629,"Neg",-0.71,"Cool"
"206","2001-02","COPA","ADPE",-1.47269340137125,"PHS","S",2002,1,"2002|S|1",128904.197738154,57,0.667166666666667,"Pos",-0.2075,"Neutral"
"207","2002-03","COPA","ADPE",-0.444123509543036,"PHS","S",2003,1,"2003|S|1",1329876.52915847,0,-0.617833333333333,"Neg",0.9775,"Warm"
"208","2003-04","COPA","ADPE",-0.0291331578024452,"PHS","S",2004,1,"2004|S|1",47933.4288238174,3,-0.332983333333333,"Neg",0.305,"Neutral"
"209","2004-05","COPA","ADPE",0.468246034219609,"PHS","S",2005,1,"2005|S|1",364733.84998899,0,0.00191666666666668,"Pos",0.6525,"Warm"
"210","2005-06","COPA","ADPE",0.0327306521557767,"PHS","S",2006,1,"2006|S|1",977915.863336175,280,-0.310166666666667,"Neg",-0.59,"Cool"
"211","2006-07","COPA","ADPE",-0.523488424370503,"PHS","S",2007,1,"2007|S|1",1552495.4558265,19,0.17335,"Pos",0.7225,"Warm"
"212","2007-08","COPA","ADPE",1.0158266946582,"PHS","S",2008,1,"2008|S|1",2601639.51804375,0,0.5765,"Pos",-1.3,"Cool"
"213","2008-09","COPA","ADPE",1.20822944532725,"PHS","S",2009,1,"2009|S|1",787974.606108325,11,0.890666666666667,"Pos",-0.645,"Cool"
"214","2009-10","COPA","ADPE",0.298420323464418,"PHS","S",2010,1,"2010|S|1",227811.894421557,3613,-0.442033333333333,"Neg",1.23,"Warm"
"215","2010-11","COPA","ADPE",0.355902079444157,"PHS","S",2011,1,"2011|S|1",1145409.30877156,200,0.6469,"Pos",-1.27,"Cool"
"216","2011-12","COPA","ADPE",0.584743163311995,"PHS","S",2012,1,"2012|S|1",NA,1556,0.603666666666667,"Pos",-0.765,"Cool"
"217","2012-13","COPA","ADPE",-1.36834781237511,"PHS","S",2013,1,"2013|S|1",NA,2057,-0.125166666666667,"Neg",-0.2325,"Neutral"
"218","1991-92","COPA","GEPE",-0.515229771618037,"PHS","S",1992,1,"1992|S|1",NA,92,-1.01073333333333,"Neg",1.415,"Warm"
"219","1992-93","COPA","GEPE",-0.593812166409808,"PHS","S",1993,1,"1993|S|1",NA,0,-0.319,"Neg",0.0775,"Neutral"
"220","1993-94","COPA","GEPE",-0.580319227053032,"PHS","S",1994,1,"1994|S|1",NA,0,0.779666666666667,"Pos",0.115,"Neutral"
"221","1994-95","COPA","GEPE",0.410100277026214,"PHS","S",1995,1,"1995|S|1",NA,0,0.231833333333333,"Pos",0.8925,"Warm"
"222","1995-96","COPA","GEPE",-0.178375252798391,"PHS","S",1996,1,"1996|S|1",1758076.65097431,0,0.317666666666667,"Pos",-0.88,"Cool"
"223","1996-97","COPA","GEPE",-0.933335505723736,"PHS","S",1997,1,"1997|S|1",913948.335436675,13,0.0164833333333333,"Pos",-0.46,"Neutral"
"224","1997-98","COPA","GEPE",0.977838271661218,"PHS","S",1998,1,"1998|S|1",1547602.76374548,0,-0.298666666666667,"Neg",2.105,"Warm"
"225","1998-99","COPA","GEPE",-0.099868730533992,"PHS","S",1999,1,"1999|S|1",473419.83516923,127,0.715333333333333,"Pos",-1.355,"Cool"
"226","1999-00","COPA","GEPE",1.05382994600158,"PHS","S",2000,1,"2000|S|1",1945391.05465637,231,1.059,"Pos",-1.48,"Cool"
"227","2000-01","COPA","GEPE",-0.00206231028365266,"PHS","S",2001,1,"2001|S|1",484257.586975514,213,-0.629,"Neg",-0.71,"Cool"
"228","2001-02","COPA","GEPE",0.111629266224809,"PHS","S",2002,1,"2002|S|1",128904.197738154,57,0.667166666666667,"Pos",-0.2075,"Neutral"
"229","2002-03","COPA","GEPE",0.693347314099267,"PHS","S",2003,1,"2003|S|1",1329876.52915847,0,-0.617833333333333,"Neg",0.9775,"Warm"
"230","2003-04","COPA","GEPE",-0.103077064262358,"PHS","S",2004,1,"2004|S|1",47933.4288238174,3,-0.332983333333333,"Neg",0.305,"Neutral"
"231","2004-05","COPA","GEPE",1.81656578537585,"PHS","S",2005,1,"2005|S|1",364733.84998899,0,0.00191666666666668,"Pos",0.6525,"Warm"
"232","2005-06","COPA","GEPE",0.048894024283674,"PHS","S",2006,1,"2006|S|1",977915.863336175,280,-0.310166666666667,"Neg",-0.59,"Cool"
"233","2006-07","COPA","GEPE",1.10129575822514,"PHS","S",2007,1,"2007|S|1",1552495.4558265,19,0.17335,"Pos",0.7225,"Warm"
"234","2007-08","COPA","GEPE",-1.39383710112335,"PHS","S",2008,1,"2008|S|1",2601639.51804375,0,0.5765,"Pos",-1.3,"Cool"
"235","2008-09","COPA","GEPE",1.55801843563323,"PHS","S",2009,1,"2009|S|1",787974.606108325,11,0.890666666666667,"Pos",-0.645,"Cool"
"236","2009-10","COPA","GEPE",-1.62926649270609,"PHS","S",2010,1,"2010|S|1",227811.894421557,3613,-0.442033333333333,"Neg",1.23,"Warm"
"237","2010-11","COPA","GEPE",-2.1809582227599,"PHS","S",2011,1,"2011|S|1",1145409.30877156,200,0.6469,"Pos",-1.27,"Cool"
"238","2011-12","COPA","GEPE",0.240282192085239,"PHS","S",2012,1,"2012|S|1",NA,1556,0.603666666666667,"Pos",-0.765,"Cool"
"239","2012-13","COPA","GEPE",0.198340574656142,"PHS","S",2013,1,"2013|S|1",NA,2057,-0.125166666666667,"Neg",-0.2325,"Neutral"
"240","1997-98","CS","CHPE",-0.593638393764013,"PHS","S",1998,2,"1998|S|2",1413546.44573773,4904,-0.298666666666667,"Neg",2.105,"Warm"
"241","1998-99","CS","CHPE",0.769224077469897,"PHS","S",1999,2,"1999|S|2",593208.557496801,8082,0.715333333333333,"Pos",-1.355,"Cool"
"242","1999-00","CS","CHPE",0.320433359300669,"PHS","S",2000,2,"2000|S|2",1817683.62451999,13555,1.059,"Pos",-1.48,"Cool"
"243","2000-01","CS","CHPE",2.19826643690765,"PHS","S",2001,2,"2001|S|2",466145.398227226,2266,-0.629,"Neg",-0.71,"Cool"
"244","2001-02","CS","CHPE",-0.202811028406827,"PHS","S",2002,2,"2002|S|2",219845.110809859,24,0.667166666666667,"Pos",-0.2075,"Neutral"
"245","2002-03","CS","CHPE",-0.309157318015885,"PHS","S",2003,2,"2003|S|2",1043928.75564458,3893,-0.617833333333333,"Neg",0.9775,"Warm"
"246","2003-04","CS","CHPE",-0.6400926070287,"PHS","S",2004,2,"2004|S|2",248086.294206825,2290,-0.332983333333333,"Neg",0.305,"Neutral"
"247","2004-05","CS","CHPE",-1.2981214655197,"PHS","S",2005,2,"2005|S|2",706595.897610585,322,0.00191666666666668,"Pos",0.6525,"Warm"
"248","2005-06","CS","CHPE",-0.629242358928258,"PHS","S",2006,2,"2006|S|2",940966.523205246,654,-0.310166666666667,"Neg",-0.59,"Cool"
"249","2006-07","CS","CHPE",0.172960014048796,"PHS","S",2007,2,"2007|S|2",2025297.43606739,1843,0.17335,"Pos",0.7225,"Warm"
"250","2007-08","CS","CHPE",-1.57624978889179,"PHS","S",2008,2,"2008|S|2",2035625.18924159,218,0.5765,"Pos",-1.3,"Cool"
"251","2008-09","CS","CHPE",0.259181432752995,"PHS","S",2009,2,"2009|S|2",1708749.27054823,2571,0.890666666666667,"Pos",-0.645,"Cool"
"252","2009-10","CS","CHPE",-0.448645834073823,"PHS","S",2010,2,"2010|S|2",291132.226170728,54,-0.442033333333333,"Neg",1.23,"Warm"
"253","2010-11","CS","CHPE",-0.405167991091807,"PHS","S",2011,2,"2011|S|2",1319319.42754132,41,0.6469,"Pos",-1.27,"Cool"
"254","2011-12","CS","CHPE",1.26185072161223,"PHS","S",2012,2,"2012|S|2",NA,579,0.603666666666667,"Pos",-0.765,"Cool"
"255","2012-13","CS","CHPE",0.453859899722661,"PHS","S",2013,2,"2013|S|2",NA,8777,-0.125166666666667,"Neg",-0.2325,"Neutral"
"256","2013-14","CS","CHPE",1.20626513814917,"PHS","S",2014,2,"2014|S|2",NA,11702,-0.01695,"Neg",-0.39,"Neutral"
"257","2014-15","CS","CHPE",0.985074002578355,"PHS","S",2015,2,"2015|S|2",NA,340,0.571666666666667,"Pos",0.55,"Warm"
"258","2015-16","CS","CHPE",-1.52398829682162,"PHS","S",2016,2,"2016|S|2",NA,0,0.831016666666667,"Pos",2.155,"Warm"
"259","1998-99","CS","GEPE",-0.737516596364846,"PHS","S",1999,2,"1999|S|2",593208.557496801,8082,0.715333333333333,"Pos",-1.355,"Cool"
"260","1999-00","CS","GEPE",-0.406121062276837,"PHS","S",2000,2,"2000|S|2",1817683.62451999,13555,1.059,"Pos",-1.48,"Cool"
"261","2000-01","CS","GEPE",-0.00274035111677677,"PHS","S",2001,2,"2001|S|2",466145.398227226,2266,-0.629,"Neg",-0.71,"Cool"
"262","2001-02","CS","GEPE",-0.675863199099615,"PHS","S",2002,2,"2002|S|2",219845.110809859,24,0.667166666666667,"Pos",-0.2075,"Neutral"
"263","2002-03","CS","GEPE",-0.220434394861811,"PHS","S",2003,2,"2003|S|2",1043928.75564458,3893,-0.617833333333333,"Neg",0.9775,"Warm"
"264","2003-04","CS","GEPE",0.506994250712924,"PHS","S",2004,2,"2004|S|2",248086.294206825,2290,-0.332983333333333,"Neg",0.305,"Neutral"
"265","2004-05","CS","GEPE",-0.181165311384212,"PHS","S",2005,2,"2005|S|2",706595.897610585,322,0.00191666666666668,"Pos",0.6525,"Warm"
"266","2005-06","CS","GEPE",0.840794031604554,"PHS","S",2006,2,"2006|S|2",940966.523205246,654,-0.310166666666667,"Neg",-0.59,"Cool"
"267","2006-07","CS","GEPE",0.522250493803142,"PHS","S",2007,2,"2007|S|2",2025297.43606739,1843,0.17335,"Pos",0.7225,"Warm"
"268","2007-08","CS","GEPE",-0.427728072972295,"PHS","S",2008,2,"2008|S|2",2035625.18924159,218,0.5765,"Pos",-1.3,"Cool"
"269","2008-09","CS","GEPE",0.794099877990347,"PHS","S",2009,2,"2009|S|2",1708749.27054823,2571,0.890666666666667,"Pos",-0.645,"Cool"
"270","2009-10","CS","GEPE",1.61622927443204,"PHS","S",2010,2,"2010|S|2",291132.226170728,54,-0.442033333333333,"Neg",1.23,"Warm"
"271","2010-11","CS","GEPE",-0.28534813749031,"PHS","S",2011,2,"2011|S|2",1319319.42754132,41,0.6469,"Pos",-1.27,"Cool"
"272","2011-12","CS","GEPE",2.16576481619841,"PHS","S",2012,2,"2012|S|2",NA,579,0.603666666666667,"Pos",-0.765,"Cool"
"273","2012-13","CS","GEPE",-0.104618476209156,"PHS","S",2013,2,"2013|S|2",NA,8777,-0.125166666666667,"Neg",-0.2325,"Neutral"
"274","2013-14","CS","GEPE",0.0269477880334317,"PHS","S",2014,2,"2014|S|2",NA,11702,-0.01695,"Neg",-0.39,"Neutral"
"275","2014-15","CS","GEPE",-2.1735254187641,"PHS","S",2015,2,"2015|S|2",NA,340,0.571666666666667,"Pos",0.55,"Warm"
"276","2015-16","CS","GEPE",-1.25801951223488,"PHS","S",2016,2,"2016|S|2",NA,0,0.831016666666667,"Pos",2.155,"Warm"
"284","2004-05","COPA","ADPE",1.86118757812426,"REVTD","S",2005,1,"2005|S|1",364733.84998899,0,0.00191666666666668,"Pos",0.6525,"Warm"
"285","2005-06","COPA","ADPE",0.192932099281472,"REVTD","S",2006,1,"2006|S|1",977915.863336175,280,-0.310166666666667,"Neg",-0.59,"Cool"
"286","2006-07","COPA","ADPE",0.659352373537371,"REVTD","S",2007,1,"2007|S|1",1552495.4558265,19,0.17335,"Pos",0.7225,"Warm"
"287","2007-08","COPA","ADPE",0.363145039076104,"REVTD","S",2008,1,"2008|S|1",2601639.51804375,0,0.5765,"Pos",-1.3,"Cool"
"289","2009-10","COPA","ADPE",-1.0084010060244,"REVTD","S",2010,1,"2010|S|1",227811.894421557,3613,-0.442033333333333,"Neg",1.23,"Warm"
"290","2010-11","COPA","ADPE",-0.155446948205491,"REVTD","S",2011,1,"2011|S|1",1145409.30877156,200,0.6469,"Pos",-1.27,"Cool"
"291","2011-12","COPA","ADPE",-0.780659063006643,"REVTD","S",2012,1,"2012|S|1",NA,1556,0.603666666666667,"Pos",-0.765,"Cool"
"293","2013-14","COPA","ADPE",-1.13211007278268,"REVTD","S",2014,1,"2014|S|1",NA,3072,-0.01695,"Neg",-0.39,"Neutral"
